2021;Vioxid;9;1;The pillars
2021;WittyOstrich;7;1;The pillars
2021;Dr0nai;12;2;The pillars
2021;Vioxid;18;2;Gun game
2021;WittyOstrich;9;1;Gun game
2021;Dr0nai;17;3;Gun game
2021;Vioxid;9;1;Zone wars
2021;WittyOstrich;4;0;Zone wars
2021;Dr0nai;16;2;Zone wars
2022;Vioxid;9;1;Tilted
2022;WittyOstrich;18;2;Box pvp
2022;Dr0nai;2;0;Zone wars
2022;WinTheBattle;4;0;Zone wars
2022;Vioxid;19;3;Gun game
2022;WittyOstrich;9;1;Gun game
2023;Vioxid;20;2;Tilted
2023;WittyOstrich;12;2;Tilted
2023;Dr0nai;8;0;Gun game
2023;Vioxid;17;3;Gun game
2023;Vioxid;9;1;Zone wars
2023;Dr0nai;17;3;The pillars
2023;Vioxid;2;0;The pillars
2024;Dr0nai;17;3;The pillars
2024;Dr0nai;15;1;Gun game
2024;Dr0nai;16;2;Zone wars
2024;Vioxid;18;0;Gun game
2024;Vioxid;5;1;Zone wars
2024;Vioxid;12;2;The pillars
2024;WittyOstrich;9;1;Gun game
2024;WittyOstrich;4;0;Zone wars
2024;WittyOstrich;7;1;The pillars
2025;Vioxid;12;0;Tilted
2025;WittyOstrich;12;2;Tilted
2025;Dr0nai;2;0;Gun game
2025;Vioxid;17;3;Gun game
2025;Vioxid;12;2;Zone wars
2025;WittyOstrich;10;2;Zone wars
2025;Dr0nai;7;1;Zone wars
2025;WinTheBattle;9;1;Zone wars
2025;Dr0nai;12;2;The pillars
2025;Vioxid;6;0;The pillars
